;AGG0;AGG1;AGG2;;;;
scene_4;0.835211;0.808371;0.830138;;;;
scene_5;0.796281;0.806198;0.802066;;;;
scene_6;0.690303;0.718373;0.682106;;;;
scene_7;0.849616;0.863212;0.872386;;;;
scene_8;0.759023;0.750404;0.767872;;;;
scene_9;0.811887;0.824541;0.811610;;;;
scene_10;0.813596;0.822603;0.764881;;;;
scene_11;0.835707;0.819548;0.823074;;;;
scene_12;0.842986;0.838784;0.857711;;;;
scene_13;0.806476;0.802051;0.784232;;;;
scene_14;0.773935;0.773559;0.778321;;;;
scene_15;0.836583;0.823435;0.823067;;;;
scene_16;0.817769;0.830579;0.835537;;;;
scene_17;0.825809;0.793295;0.834484;;;;
scene_18;0.800227;0.804359;0.786952;;;;
scene_19;0.808796;0.804410;0.804410;;;;
scene_20;0.798035;0.772173;0.816247;;;;
scene_21;0.832432;0.828085;0.828085;;;;
scene_22;0.710744;0.756160;0.764965;;;;
scene_23;0.768162;0.694318;0.715909;;;;
scene_24;0.734736;0.761428;0.735289;;;;
scene_25;0.759335;0.759738;0.746177;;;;
scene_26;0.765094;0.792539;0.802144;;;;
scene_27;0.750337;0.750337;0.755145;;;;
scene_28;0.866664;0.871637;0.866664;;;;
scene_29;0.858201;0.853854;0.823828;;;;
scene_30;0.706588;0.719945;0.718883;;;;
tmc2007_500_1;0.799364;0.795632;0.791109;;;;
tmc2007_500_2;0.769462;0.724546;0.739457;;;;
tmc2007_500_3;0.774366;0.783713;0.780503;;;;
tmc2007_500_4;0.820493;0.792957;0.801852;;;;
tmc2007_500_5;0.743895;0.757490;0.754141;;;;
tmc2007_500_6;0.769785;0.759530;0.763986;;;;
tmc2007_500_7;0.738870;0.711638;0.734407;;;;
tmc2007_500_8;0.838417;0.824931;0.823207;;;;
tmc2007_500_9;0.822950;0.797025;0.816247;;;;
tmc2007_500_10;0.820594;0.791828;0.796891;;;;
tmc2007_500_11;0.705269;0.685185;0.693381;;;;
tmc2007_500_12;0.752662;0.751542;0.773049;;;;
tmc2007_500_13;0.781972;0.756750;0.805711;;;;
tmc2007_500_14;0.676374;0.626260;0.656635;;;;
tmc2007_500_15;0.679263;0.631701;0.646891;;;;
tmc2007_500_16;0.649557;0.673294;0.649993;;;;
tmc2007_500_17;0.744409;0.734753;0.742004;;;;
tmc2007_500_18;0.755431;0.725106;0.727052;;;;
tmc2007_500_19;0.583353;0.606465;0.567128;;;;
tmc2007_500_20;0.743930;0.745370;0.743692;;;;
tmc2007_500_21;0.778009;0.801025;0.798050;;;;
tmc2007_500_22;0.792698;0.752972;0.765614;;;;
tmc2007_500_23;0.728409;0.729513;0.724847;;;;
tmc2007_500_24;0.695038;0.690577;0.607801;;;;
tmc2007_500_25;0.697082;0.700094;0.705961;;;;
tmc2007_500_26;0.799395;0.773833;0.768411;;;;
tmc2007_500_27;0.800686;0.780796;0.787017;;;;
tmc2007_500_28;0.747095;0.753245;0.756700;;;;
tmc2007_500_29;0.796029;0.786378;0.787974;;;;
tmc2007_500_30;0.800718;0.803057;0.787071;;;;
